,Unnamed: 0_x,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots,Unnamed: 0_y,release_date,price,rating
1334,1334,The Raven Remastered,/wiki/The_Raven_Remastered,Adventure,King Art Games,THQ Nordic,"January 21, 2019"," The gameplay incorporates elements of stealth and detective work. It includes some cross-genre gameplay standards such as lockpicking doors and gathering key items. It also includes a point system, which serves as a ranking system and can be used to unlock new areas of the map. One of its main gameplay elements is puzzle solving.  ",7924.0,22nd Jan 2019,£26.99,6.87
1335,1335,Rayman Legends,/wiki/Rayman_Legends,Platformer,Ubisoft Montpellier,Ubisoft,"September 12, 2017"," The game carries on the style of gameplay from Rayman Origins in which up to four players (depending on the format) simultaneously make their way through various levels. Lums can be collected by touching them, defeating enemies, or freeing captured Teensies. Collecting Teensies unlocks new worlds, which can be played in any order once they are available. Along with Rayman, Globox, and the Teensies returning as playable characters, players can now control the new female character Barbara the Barbarian Princess, her sister and their cousins, once they are rescued from certain stages.  In addition to the main playable characters, Murfy the greenbottle, who first appeared in Rayman 2: The Great Escape, appears as an assist character. Murfy can perform various actions such as cutting through ropes, activating mechanisms, grabbing hold of enemies and assisting in gathering Lums. These offer a range of levels in which co-operation is required to progress. In the Wii U, PlayStation Vita, and PlayStation 4 versions of the game, an additional player can control Murfy directly with touch controls, using the Wii U GamePad, the Vita's front touch screen, and the Dual Shock 4 touchpad respectively. In single-player mode, control will switch over to Murfy during certain sections whilst the computer controls the player's character. In the PlayStation 3, Xbox 360, Xbox One, and PC versions of the game, Murfy moves automatically and can be prompted to interact with certain objects with button controls. Other new features include sections where players can fire projectile fists at enemies and rhythm based levels set to covers of songs such as ""Black Betty"", ""Eye of the Tiger"", and ""Woo-Hoo"".  The game features over one hundred twenty levels, including forty remastered levels from the original Rayman Origins, which are unlocked by obtaining Lucky Tickets, which can also win additional Lums and Teensies. Some levels feature remixed 'Invaded' versions, which must be completed as quickly as possible. The game also offers daily and weekly challenge stages, in which players can compete with other players via leaderboards in challenges such as collecting a certain number of Lums in a short time or surviving the longest on a stage. More challenge stages can be accessed by raising the player's 'awesomeness' rating, which increases by collecting trophies earned by rescuing Teensies, collecting a high number of Lums in each level or by having a high leaderboard position at the end of a challenge. A local multiplayer football game, Kung Foot, is also featured, in which players use attacks to knock a football into the opponent's goal.   Its plot takes place one century after the events of Rayman Origins. Rayman, Globox, and the Teensies have been asleep ever since. During that time, the Bubble Dreamer's nightmares grew in strength and numbers, and so has the Magician (who has survived the explosion in Rayman Origins), who has split into five ""Dark Teensies"". Rayman and friends are awakened by their friend Murfy who tells them about the bad news and tells them that the ten princesses of the land (including Barbara) and the Teensies have been captured by the nightmares and the Dark Teensies. Rayman, Globox, the Teensies, and Murfy set out to defeat these new threats. After defeating four of the Dark Teensies and fighting the worst of the nightmares, including a mechanical dragon built and controlled by the fourth Dark Teensie in his underwater base, Rayman and friends go to Olympus Maximus and confront a giant cloud composed of little ferocious dark creatures of dark energy known as Hades’ Hand. After the creature has been destroyed and the last Dark Teensie is sent to the moon, the credits roll. If four hundred teensies are saved, the player unlocks the last world of the game, Living Dead Party. Once completed, the nightmares are defeated and the player is awarded ten thousand lums and six new invasion paintings. Once the player saves all seven hundred (or eight hundred and twenty-six in the Nintendo Switch version) Teensies, they unlock the Golden Teensie.  ",,,,
1336,1336,R.B.I. Baseball 17,/wiki/R.B.I._Baseball_17,Sports,Nighthawk Interactive,MLB Advanced Media,"September 5, 2017"," RBI Baseball was the first console game of its kind to be licensed by the Major League Baseball Players Association (MLBPA) and used actual MLB player names, unlike other baseball video games of the late 1980s. As it was not licensed by Major League Baseball (MLB) itself, it did not use team nicknames or logos. Instead, the game contained 8 teams listed by only their location: Boston, California, Detroit, Houston, Minnesota, New York, St. Louis, and San Francisco; their real-life, MLB counterparts were the first place teams in each division in 1986 (Boston, California, Houston, New York) and 1987 (Detroit, Minnesota, St. Louis, San Francisco) MLB seasons.  The game also boasted two All-Star teams, American League and National League; the two featured established veterans such as George Brett, Mike Schmidt, Dale Murphy and Andre Dawson—none of whom appeared on the other eight teams—and up-and-coming players like Mark McGwire, Andrés Galarraga, Kevin Seitzer and José Canseco.  Each player has different capabilities in the game; hitters vary in ability to make solid contact, to hit the ball with power, and their base running speed. Vince Coleman is the fastest player in the game; it is very difficult to catch him stealing second base. Pitchers vary in pitching speed, and the amount by which the player can steer the ball left and right during its flight. Pitchers also have varying stamina; as a pitcher gets tired, the ball slows down and is harder to steer. Nolan Ryan and Roger Clemens are two pitchers in the game with the fastest pitches.  Fernando Valenzuela, without a hard fastball, has tremendous movement in both directions with his pitches.  Mike Scott has a sharp and deceptive breaking ball.  The best pitcher is debatable, depending on how they are used by the players.  There is no evidence that fielding abilities correspond to individual players.  The abilities of each player do not necessarily correspond with the statistics shown on the screen when the player comes to bat or takes the mound. These statistics are generally accurate, with many exceptions (see below). They do not change during the course of the game or sequence of games.  A rudimentary box score is displayed during and after the game showing composite statistics for each team. A hit batter is credited with a walk, and anyone reaching on an error gets credited for a hit even as the other team is charged with an error. Conversely, a batter thrown out while trying for extra bases is not credited with a hit.  The infield fly rule is not implemented.  The rosters for the eight teams are fairly accurate if simplified representations of the playoff rosters from their respective years. Each team has 8 starting batters, four bench players, two starting pitchers and two relievers. The player can start any pitcher they like, though the relievers have very low stamina. But if they play consecutive games without resetting the system, any starting pitcher used in the previous game will be unavailable. The player has to wait until the game starts before substituting players with pinch hitters, who can play any position. Pinch runners are not implemented.  Unlike Major League Baseball, R.B.I. Baseball implements the mercy rule—if one team is ahead by ten or more runs after any number of completed innings, the game ends immediately.  Additionally, while the statistics shown on the screen for each player in the original game were reasonably accurate, their playing attributes were not always accurate. For example, George Brett was depicted in-game as a right-handed batter, while the real-life Brett batted left-handed. Also, all real-life switch hitters, such as Tim Raines, were depicted exclusively as left-handed batters.  In Vs. RBI Baseball, the teams are made up of legends from 10 different franchises. These players were statistically represented with their best seasons. A notable exception was that of McGwire, who was included on the Oakland team, and was statistically represented by his potential numbers. In a remarkable display of foresight, he was projected to hit 62 home runs in his best season. In 1998, he set the then-major league record for home runs in a season with 70.  From the second game onward in the original R.B.I. Baseball series, all of the (then) 26 (later 28) Major League Baseball teams were featured; however, these later games also did not have a full MLB license, so the teams were only identified by their cities (however, they still had real player names as they had the MLBPA license). Beginning with the third game in the series, some playoff teams of the recent past were featured, which also include the rosters of those teams in the years that they qualified.  Games  ",,,,
1337,1337,R.B.I. Baseball 18,/wiki/R.B.I._Baseball_18,Sports,MLB Advanced Media,MLB Advanced Media,"June 14, 2018"," RBI Baseball was the first console game of its kind to be licensed by the Major League Baseball Players Association (MLBPA) and used actual MLB player names, unlike other baseball video games of the late 1980s. As it was not licensed by Major League Baseball (MLB) itself, it did not use team nicknames or logos. Instead, the game contained 8 teams listed by only their location: Boston, California, Detroit, Houston, Minnesota, New York, St. Louis, and San Francisco; their real-life, MLB counterparts were the first place teams in each division in 1986 (Boston, California, Houston, New York) and 1987 (Detroit, Minnesota, St. Louis, San Francisco) MLB seasons.  The game also boasted two All-Star teams, American League and National League; the two featured established veterans such as George Brett, Mike Schmidt, Dale Murphy and Andre Dawson—none of whom appeared on the other eight teams—and up-and-coming players like Mark McGwire, Andrés Galarraga, Kevin Seitzer and José Canseco.  Each player has different capabilities in the game; hitters vary in ability to make solid contact, to hit the ball with power, and their base running speed. Vince Coleman is the fastest player in the game; it is very difficult to catch him stealing second base. Pitchers vary in pitching speed, and the amount by which the player can steer the ball left and right during its flight. Pitchers also have varying stamina; as a pitcher gets tired, the ball slows down and is harder to steer. Nolan Ryan and Roger Clemens are two pitchers in the game with the fastest pitches.  Fernando Valenzuela, without a hard fastball, has tremendous movement in both directions with his pitches.  Mike Scott has a sharp and deceptive breaking ball.  The best pitcher is debatable, depending on how they are used by the players.  There is no evidence that fielding abilities correspond to individual players.  The abilities of each player do not necessarily correspond with the statistics shown on the screen when the player comes to bat or takes the mound. These statistics are generally accurate, with many exceptions (see below). They do not change during the course of the game or sequence of games.  A rudimentary box score is displayed during and after the game showing composite statistics for each team. A hit batter is credited with a walk, and anyone reaching on an error gets credited for a hit even as the other team is charged with an error. Conversely, a batter thrown out while trying for extra bases is not credited with a hit.  The infield fly rule is not implemented.  The rosters for the eight teams are fairly accurate if simplified representations of the playoff rosters from their respective years. Each team has 8 starting batters, four bench players, two starting pitchers and two relievers. The player can start any pitcher they like, though the relievers have very low stamina. But if they play consecutive games without resetting the system, any starting pitcher used in the previous game will be unavailable. The player has to wait until the game starts before substituting players with pinch hitters, who can play any position. Pinch runners are not implemented.  Unlike Major League Baseball, R.B.I. Baseball implements the mercy rule—if one team is ahead by ten or more runs after any number of completed innings, the game ends immediately.  Additionally, while the statistics shown on the screen for each player in the original game were reasonably accurate, their playing attributes were not always accurate. For example, George Brett was depicted in-game as a right-handed batter, while the real-life Brett batted left-handed. Also, all real-life switch hitters, such as Tim Raines, were depicted exclusively as left-handed batters.  In Vs. RBI Baseball, the teams are made up of legends from 10 different franchises. These players were statistically represented with their best seasons. A notable exception was that of McGwire, who was included on the Oakland team, and was statistically represented by his potential numbers. In a remarkable display of foresight, he was projected to hit 62 home runs in his best season. In 1998, he set the then-major league record for home runs in a season with 70.  From the second game onward in the original R.B.I. Baseball series, all of the (then) 26 (later 28) Major League Baseball teams were featured; however, these later games also did not have a full MLB license, so the teams were only identified by their cities (however, they still had real player names as they had the MLBPA license). Beginning with the third game in the series, some playoff teams of the recent past were featured, which also include the rosters of those teams in the years that they qualified.  Games  ",,,,
1338,1338,R.B.I. Baseball 19,/wiki/R.B.I._Baseball_19,Sports,MLB Advanced Media,MLB Advanced Media,"March 5, 2019"," RBI Baseball was the first console game of its kind to be licensed by the Major League Baseball Players Association (MLBPA) and used actual MLB player names, unlike other baseball video games of the late 1980s. As it was not licensed by Major League Baseball (MLB) itself, it did not use team nicknames or logos. Instead, the game contained 8 teams listed by only their location: Boston, California, Detroit, Houston, Minnesota, New York, St. Louis, and San Francisco; their real-life, MLB counterparts were the first place teams in each division in 1986 (Boston, California, Houston, New York) and 1987 (Detroit, Minnesota, St. Louis, San Francisco) MLB seasons.  The game also boasted two All-Star teams, American League and National League; the two featured established veterans such as George Brett, Mike Schmidt, Dale Murphy and Andre Dawson—none of whom appeared on the other eight teams—and up-and-coming players like Mark McGwire, Andrés Galarraga, Kevin Seitzer and José Canseco.  Each player has different capabilities in the game; hitters vary in ability to make solid contact, to hit the ball with power, and their base running speed. Vince Coleman is the fastest player in the game; it is very difficult to catch him stealing second base. Pitchers vary in pitching speed, and the amount by which the player can steer the ball left and right during its flight. Pitchers also have varying stamina; as a pitcher gets tired, the ball slows down and is harder to steer. Nolan Ryan and Roger Clemens are two pitchers in the game with the fastest pitches.  Fernando Valenzuela, without a hard fastball, has tremendous movement in both directions with his pitches.  Mike Scott has a sharp and deceptive breaking ball.  The best pitcher is debatable, depending on how they are used by the players.  There is no evidence that fielding abilities correspond to individual players.  The abilities of each player do not necessarily correspond with the statistics shown on the screen when the player comes to bat or takes the mound. These statistics are generally accurate, with many exceptions (see below). They do not change during the course of the game or sequence of games.  A rudimentary box score is displayed during and after the game showing composite statistics for each team. A hit batter is credited with a walk, and anyone reaching on an error gets credited for a hit even as the other team is charged with an error. Conversely, a batter thrown out while trying for extra bases is not credited with a hit.  The infield fly rule is not implemented.  The rosters for the eight teams are fairly accurate if simplified representations of the playoff rosters from their respective years. Each team has 8 starting batters, four bench players, two starting pitchers and two relievers. The player can start any pitcher they like, though the relievers have very low stamina. But if they play consecutive games without resetting the system, any starting pitcher used in the previous game will be unavailable. The player has to wait until the game starts before substituting players with pinch hitters, who can play any position. Pinch runners are not implemented.  Unlike Major League Baseball, R.B.I. Baseball implements the mercy rule—if one team is ahead by ten or more runs after any number of completed innings, the game ends immediately.  Additionally, while the statistics shown on the screen for each player in the original game were reasonably accurate, their playing attributes were not always accurate. For example, George Brett was depicted in-game as a right-handed batter, while the real-life Brett batted left-handed. Also, all real-life switch hitters, such as Tim Raines, were depicted exclusively as left-handed batters.  In Vs. RBI Baseball, the teams are made up of legends from 10 different franchises. These players were statistically represented with their best seasons. A notable exception was that of McGwire, who was included on the Oakland team, and was statistically represented by his potential numbers. In a remarkable display of foresight, he was projected to hit 62 home runs in his best season. In 1998, he set the then-major league record for home runs in a season with 70.  From the second game onward in the original R.B.I. Baseball series, all of the (then) 26 (later 28) Major League Baseball teams were featured; however, these later games also did not have a full MLB license, so the teams were only identified by their cities (however, they still had real player names as they had the MLBPA license). Beginning with the third game in the series, some playoff teams of the recent past were featured, which also include the rosters of those teams in the years that they qualified.  Games  ",,,,
1339,1339,R.B.I. Baseball 20,/wiki/R.B.I._Baseball_20,Sports,MLB Advanced Media,MLB Advanced Media,"March 16, 2020"," RBI Baseball was the first console game of its kind to be licensed by the Major League Baseball Players Association (MLBPA) and used actual MLB player names, unlike other baseball video games of the late 1980s. As it was not licensed by Major League Baseball (MLB) itself, it did not use team nicknames or logos. Instead, the game contained 8 teams listed by only their location: Boston, California, Detroit, Houston, Minnesota, New York, St. Louis, and San Francisco; their real-life, MLB counterparts were the first place teams in each division in 1986 (Boston, California, Houston, New York) and 1987 (Detroit, Minnesota, St. Louis, San Francisco) MLB seasons.  The game also boasted two All-Star teams, American League and National League; the two featured established veterans such as George Brett, Mike Schmidt, Dale Murphy and Andre Dawson—none of whom appeared on the other eight teams—and up-and-coming players like Mark McGwire, Andrés Galarraga, Kevin Seitzer and José Canseco.  Each player has different capabilities in the game; hitters vary in ability to make solid contact, to hit the ball with power, and their base running speed. Vince Coleman is the fastest player in the game; it is very difficult to catch him stealing second base. Pitchers vary in pitching speed, and the amount by which the player can steer the ball left and right during its flight. Pitchers also have varying stamina; as a pitcher gets tired, the ball slows down and is harder to steer. Nolan Ryan and Roger Clemens are two pitchers in the game with the fastest pitches.  Fernando Valenzuela, without a hard fastball, has tremendous movement in both directions with his pitches.  Mike Scott has a sharp and deceptive breaking ball.  The best pitcher is debatable, depending on how they are used by the players.  There is no evidence that fielding abilities correspond to individual players.  The abilities of each player do not necessarily correspond with the statistics shown on the screen when the player comes to bat or takes the mound. These statistics are generally accurate, with many exceptions (see below). They do not change during the course of the game or sequence of games.  A rudimentary box score is displayed during and after the game showing composite statistics for each team. A hit batter is credited with a walk, and anyone reaching on an error gets credited for a hit even as the other team is charged with an error. Conversely, a batter thrown out while trying for extra bases is not credited with a hit.  The infield fly rule is not implemented.  The rosters for the eight teams are fairly accurate if simplified representations of the playoff rosters from their respective years. Each team has 8 starting batters, four bench players, two starting pitchers and two relievers. The player can start any pitcher they like, though the relievers have very low stamina. But if they play consecutive games without resetting the system, any starting pitcher used in the previous game will be unavailable. The player has to wait until the game starts before substituting players with pinch hitters, who can play any position. Pinch runners are not implemented.  Unlike Major League Baseball, R.B.I. Baseball implements the mercy rule—if one team is ahead by ten or more runs after any number of completed innings, the game ends immediately.  Additionally, while the statistics shown on the screen for each player in the original game were reasonably accurate, their playing attributes were not always accurate. For example, George Brett was depicted in-game as a right-handed batter, while the real-life Brett batted left-handed. Also, all real-life switch hitters, such as Tim Raines, were depicted exclusively as left-handed batters.  In Vs. RBI Baseball, the teams are made up of legends from 10 different franchises. These players were statistically represented with their best seasons. A notable exception was that of McGwire, who was included on the Oakland team, and was statistically represented by his potential numbers. In a remarkable display of foresight, he was projected to hit 62 home runs in his best season. In 1998, he set the then-major league record for home runs in a season with 70.  From the second game onward in the original R.B.I. Baseball series, all of the (then) 26 (later 28) Major League Baseball teams were featured; however, these later games also did not have a full MLB license, so the teams were only identified by their cities (however, they still had real player names as they had the MLBPA license). Beginning with the third game in the series, some playoff teams of the recent past were featured, which also include the rosters of those teams in the years that they qualified.  Games  ",,,,
1340,1340,R.B.I. Baseball 21,/wiki/R.B.I._Baseball_21,Sports,MLB Advanced Media,MLB Advanced Media,"March 16, 2021"," RBI Baseball was the first console game of its kind to be licensed by the Major League Baseball Players Association (MLBPA) and used actual MLB player names, unlike other baseball video games of the late 1980s. As it was not licensed by Major League Baseball (MLB) itself, it did not use team nicknames or logos. Instead, the game contained 8 teams listed by only their location: Boston, California, Detroit, Houston, Minnesota, New York, St. Louis, and San Francisco; their real-life, MLB counterparts were the first place teams in each division in 1986 (Boston, California, Houston, New York) and 1987 (Detroit, Minnesota, St. Louis, San Francisco) MLB seasons.  The game also boasted two All-Star teams, American League and National League; the two featured established veterans such as George Brett, Mike Schmidt, Dale Murphy and Andre Dawson—none of whom appeared on the other eight teams—and up-and-coming players like Mark McGwire, Andrés Galarraga, Kevin Seitzer and José Canseco.  Each player has different capabilities in the game; hitters vary in ability to make solid contact, to hit the ball with power, and their base running speed. Vince Coleman is the fastest player in the game; it is very difficult to catch him stealing second base. Pitchers vary in pitching speed, and the amount by which the player can steer the ball left and right during its flight. Pitchers also have varying stamina; as a pitcher gets tired, the ball slows down and is harder to steer. Nolan Ryan and Roger Clemens are two pitchers in the game with the fastest pitches.  Fernando Valenzuela, without a hard fastball, has tremendous movement in both directions with his pitches.  Mike Scott has a sharp and deceptive breaking ball.  The best pitcher is debatable, depending on how they are used by the players.  There is no evidence that fielding abilities correspond to individual players.  The abilities of each player do not necessarily correspond with the statistics shown on the screen when the player comes to bat or takes the mound. These statistics are generally accurate, with many exceptions (see below). They do not change during the course of the game or sequence of games.  A rudimentary box score is displayed during and after the game showing composite statistics for each team. A hit batter is credited with a walk, and anyone reaching on an error gets credited for a hit even as the other team is charged with an error. Conversely, a batter thrown out while trying for extra bases is not credited with a hit.  The infield fly rule is not implemented.  The rosters for the eight teams are fairly accurate if simplified representations of the playoff rosters from their respective years. Each team has 8 starting batters, four bench players, two starting pitchers and two relievers. The player can start any pitcher they like, though the relievers have very low stamina. But if they play consecutive games without resetting the system, any starting pitcher used in the previous game will be unavailable. The player has to wait until the game starts before substituting players with pinch hitters, who can play any position. Pinch runners are not implemented.  Unlike Major League Baseball, R.B.I. Baseball implements the mercy rule—if one team is ahead by ten or more runs after any number of completed innings, the game ends immediately.  Additionally, while the statistics shown on the screen for each player in the original game were reasonably accurate, their playing attributes were not always accurate. For example, George Brett was depicted in-game as a right-handed batter, while the real-life Brett batted left-handed. Also, all real-life switch hitters, such as Tim Raines, were depicted exclusively as left-handed batters.  In Vs. RBI Baseball, the teams are made up of legends from 10 different franchises. These players were statistically represented with their best seasons. A notable exception was that of McGwire, who was included on the Oakland team, and was statistically represented by his potential numbers. In a remarkable display of foresight, he was projected to hit 62 home runs in his best season. In 1998, he set the then-major league record for home runs in a season with 70.  From the second game onward in the original R.B.I. Baseball series, all of the (then) 26 (later 28) Major League Baseball teams were featured; however, these later games also did not have a full MLB license, so the teams were only identified by their cities (however, they still had real player names as they had the MLBPA license). Beginning with the third game in the series, some playoff teams of the recent past were featured, which also include the rosters of those teams in the years that they qualified.  Games  ",,,,
1343,1343,Realm Royale,/wiki/Realm_Royale,Battle royale,Heroic Leap Games,Hi-Rez Studios,"June 20, 2019"," The game plays similarly to other games in the Battle Royale genre, in which 90 players drop down from an airship and must traverse a shrinking safe area, collect equipment such as weapons and abilities to fight and eliminate opponents, and aim to be the last remaining player.  In the Squad play mode, players are grouped into teams of four against a total of 90 players. A crafting system allows found items to be disenchanted for shards to craft better items or abilities at fixed locations found on the map, called Forges, which often become contested by many players. Players who have been ""knocked down"" by other players are transformed into a chicken, and may be transformed back if they manage to survive attackers for a period of time, during which ""chickened"" players have the option to deal small amounts of damage in the form of short-range melee attacks. The game includes a battle pass, known as the ""Primal Awakening"" until January 16, 2019, when the second season known as ""Steel and Shadow"" debuted, that rewards players with character cosmetics. There are four classes, with each class having specific ""talents"" that can be earned by leveling up.  ",6147.0,20th Jun 2019,£0.00,3.33
1345,1345,Rebel Galaxy Outlaw,/wiki/Rebel_Galaxy_Outlaw,Space flight simulator,Double Damage Games,Double Damage Games,"September 22, 2020"," Rebel Galaxy Outlaw places players in the cockpit of a fighter spacecraft and emphasizes dogfight-style combat. In contrast to the capital ships of Rebel Galaxy, players have full degree of movement in space as opposed to their ship being confined to a two-dimensional plane of movement in the first game. Outlaw introduces an optional flight assist feature that players can activate on lower difficulties to have their ship automatically track and pursue a selected target.  In order to acquire better ships, weapons, and equipment, players must earn money by taking on various missions such as bounty hunting, defending colonies from pirates, delivering cargo, and scouting unexplored tracts of space. Players can also mine for resources and trade goods on the open market, or turn to piracy themselves. The game also includes a number of minigames at station bars in the form of slot machines, pool, and an arcade game similar to Asteroids.  Players of the Windows version of Outlaw can paint the outside of their ship using a detailed in-game interface that has been likened to Adobe Photoshop. The feature is not available in any of the console versions due to technical limitations.   The player is Juno Markev, a former space pirate of the DoubleJacks gang and the aunt of the player character in Rebel Galaxy. Ten years before the events of Rebel Galaxy, Juno retired from the DoubleJacks after marrying her husband, Brace, and settled into the quiet life of a law-abiding citizen in the backwater Dodge Sector. When she receives word from Brace's friend Connor McCarthy that Brace was murdered on a trading run by a man named Ruthless, Juno hunts him down in the Texas system, but bungles her attempt to kill him and is shot down. Broke and without a ship, Juno asks for a favor from her old contact Orzu, who lets her have an obsolete garbage scow to get back on her feet in return for delivering a stolen weapons system to him. Orzu then directs Juno to the android mercenary Satchel, who knows how to find Ruthless.  While waiting for Satchel to find a lead, Juno is roped into rejoining the DoubleJacks by her friend Marla in order to break Ansel, the gang's original leader, out of prison and get rid of his disliked successor. After this interlude, Satchel returns with word of Ruthless's location. When Juno finally confronts Ruthless, he is adamant that he had nothing to do with Brace's death and suggests Connor was playing an angle. The two cooperate to locate Connor and force him to divulge the truth: Brace is still alive, and he bribed Connor to lie about his death. Brace eventually contacts Juno himself and reveals that he carried out the scheme at the behest of Juno's mother, Tatiana Markev.  Meanwhile, Juno has also been coerced into helping CEO Xander Brust of Brust Arms, the company that she stole Orzu's weapons system from, investigate the disappearance of several shipping convoys. A battlecruiser equipped with a superweapon is found to be the culprit, and Juno later captures a pilot who connects the superweapon to Tatiana. When Juno and Tatiana reunite, the latter explains that she has been assembling a burgeoning criminal empire as a gift to Juno; Tatiana had hoped Brace's false death would shake Juno out of her complacency and prepare her to run the empire. Juno angrily rejects her mother's plans, but is soon arrested by the Dodge Sector Police for her part in Ansel's escape. To regain her freedom, Juno must choose between helping the police capture Tatiana, or warning Tatiana and helping her pirate armada, the Red Devils, wipe out the police fleet. In both outcomes, Brace subsequently reaches out to Juno again and asks to meet back in the Texas system, where Juno can decide whether to stay with him or leave him for good.  ",6153.0,22nd Sep 2020,£26.99,8.12
1346,1346,Record of Agarest War,/wiki/Record_of_Agarest_War,Tactical role-playing,Compile Heart,Aksys Games,March 2023," The story progresses through various points plotted on a map. By visiting each point, the player has to battle the creatures, complete a quest, visit a town or go through a conversation to advance through the storyline and open up more points.  Fighting plays out like a strategic RPG where each character has his/her own set of moves, but by moving each character to an appropriate square, you can chain characters together and pull off combos. After each round of combat, each character will regenerate AP and accumulate SP points. When enough SP points have been accumulated, characters can unleash special attacks.  The game includes dating sim elements through its ""Soul Breed"" system in which the player creates a new character by pursuing a relationship with a female character as the game's storyline extends for five generations, each one having a different male protagonist. For the first four generations the protagonist marries one among three of his female companions and their son becomes the protagonist of the following generation who inherits stats and abilities from his parents.  ",,,,
1350,1350,Redout,/wiki/Redout_(video_game),Racing,34BigThings,Nicalis,"May 14, 2019"," Redout is an anti-gravity racing game set in 2560 where players compete in the Solar Redout Racing League (SRRL) by piloting one of a selection of crafts on several different tracks.  There are seven racing teams and every team has four ships. Each ship has its distinct characteristics of acceleration, top speed, grip, structural integrity, energy pool and energy recharge speed. The players can customize their ship's characteristics installing upgrades and choosing a passive and active powerup of the six of each available.  There are five racing complexes (and an additional seven have been added via DLC) each one consisting of five tracks. Track design includes loops, jumps, teleports, underwater sections, tubular sections and tracks with low or no gravity.  The game features different racing modes of which the most unusual one is the boss mode, a race on a very long track obtained by linking via teleports the five tracks of a racing complex. Multiplayer is supported online via lobbies of up to twelve players and locally via two players split-screen.  The ship controls are similar to that of aircraft, including strafing and pitching the vehicle; the latter is used when turning uphill to prevent the ship from grinding the floor (slowing and damaging the craft) and when turning downhill to prevent redouts (an aesthetic effect).  ",6185.0,14th May 2019,£26.99,7.57
1351,1351,Redout 2,/wiki/Redout_(video_game),Racing,34BigThings,Saber Interactive,2022," Redout is an anti-gravity racing game set in 2560 where players compete in the Solar Redout Racing League (SRRL) by piloting one of a selection of crafts on several different tracks.  There are seven racing teams and every team has four ships. Each ship has its distinct characteristics of acceleration, top speed, grip, structural integrity, energy pool and energy recharge speed. The players can customize their ship's characteristics installing upgrades and choosing a passive and active powerup of the six of each available.  There are five racing complexes (and an additional seven have been added via DLC) each one consisting of five tracks. Track design includes loops, jumps, teleports, underwater sections, tubular sections and tracks with low or no gravity.  The game features different racing modes of which the most unusual one is the boss mode, a race on a very long track obtained by linking via teleports the five tracks of a racing complex. Multiplayer is supported online via lobbies of up to twelve players and locally via two players split-screen.  The ship controls are similar to that of aircraft, including strafing and pitching the vehicle; the latter is used when turning uphill to prevent the ship from grinding the floor (slowing and damaging the craft) and when turning downhill to prevent redouts (an aesthetic effect).  ",6186.0,19th Jul 2022,£26.99,6.05
